Dimensionless Injection Time,Dimensionless Differential Pressure
0.586705202,0.641640379
0.588150289,0.640378549
0.589595376,0.638485804
0.591040462,0.63785489
0.592485549,0.63659306
0.593930636,0.63533123
0.595375723,0.633438486
0.596820809,0.632176656
0.598265896,0.630914826
0.599710983,0.629022082
0.601156069,0.627760252
0.602601156,0.625867508
0.604046243,0.623974763
0.605491329,0.623974763
0.606936416,0.622082019
0.608381503,0.620820189
0.60982659,0.618927445
0.611271676,0.617665615
0.612716763,0.615772871
0.61416185,0.613880126
0.615606936,0.611987382
0.617052023,0.610094637
0.61849711,0.609463722
0.619942197,0.608201893
0.621387283,0.605678233
0.62283237,0.604416404
0.624277457,0.602523659
0.625722543,0.60126183
0.62716763,0.599369085
0.628612717,0.598107256
0.630057803,0.596845426
0.63150289,0.595583596
0.632947977,0.594321767
0.634393064,0.593690852
0.63583815,0.591798107
0.637283237,0.589905363
0.638728324,0.588012618
0.64017341,0.586750789
0.641618497,0.584858044
0.643063584,0.583596215
0.644508671,0.582334385
0.645953757,0.581072555
0.647398844,0.579810726
0.648843931,0.577917981
0.650289017,0.575394322
0.651734104,0.574132492
0.653179191,0.572239748
0.654624277,0.570347003
0.656069364,0.569085174
0.657514451,0.567192429
0.658959538,0.566561514
0.660404624,0.56466877
0.661849711,0.562776025
0.663294798,0.560883281
0.664739884,0.559621451
0.666184971,0.557728707
0.667630058,0.555835962
0.669075145,0.553943218
0.670520231,0.552050473
0.671965318,0.550788644
0.673410405,0.548895899
0.674855491,0.547003155
0.676300578,0.54637224
0.677745665,0.544479495
0.679190751,0.542586751
0.680635838,0.541324921
0.682080925,0.539432177
0.683526012,0.537539432
0.684971098,0.536277603
0.686416185,0.535015773
0.687861272,0.533123028
0.689306358,0.531230284
0.690751445,0.529337539
0.692196532,0.527444795
0.693641618,0.52555205
0.695086705,0.523659306
0.696531792,0.521766562
0.697976879,0.519873817
0.699421965,0.518611987
0.700867052,0.516719243
0.702312139,0.514826498
0.703757225,0.513564669
0.705202312,0.511041009
0.706647399,0.50851735
0.708092486,0.507886435
0.709537572,0.505993691
0.710982659,0.504100946
0.712427746,0.501577287
0.713872832,0.499684543
0.715317919,0.497160883
0.716763006,0.495268139
0.718208092,0.492744479
0.719653179,0.490851735
0.721098266,0.488958991
0.722543353,0.487066246
0.723988439,0.485804416
0.725433526,0.483911672
0.726878613,0.481388013
0.728323699,0.479495268
0.729768786,0.476971609
0.731213873,0.475078864
0.73265896,0.47318612
0.734104046,0.470662461
0.735549133,0.468769716
0.73699422,0.467507886
0.738439306,0.465615142
0.739884393,0.463091483
0.74132948,0.461829653
0.742774566,0.459305994
0.744219653,0.456782334
0.74566474,0.45488959
0.747109827,0.452365931
0.748554913,0.451735016
0.75,0.449842271
0.751445087,0.447949527
0.752890173,0.445425868
0.75433526,0.442902208
0.755780347,0.441009464
0.757225434,0.439116719
0.75867052,0.43659306
0.760115607,0.434700315
0.761560694,0.432807571
0.76300578,0.431545741
0.764450867,0.429022082
0.765895954,0.427129338
0.76734104,0.424605678
0.768786127,0.422712934
0.770231214,0.420820189
0.771676301,0.418927445
0.773121387,0.4170347
0.774566474,0.415141956
0.776011561,0.412618297
0.777456647,0.410725552
0.778901734,0.408832808
0.780346821,0.407570978
0.781791908,0.406309148
0.783236994,0.404416404
0.784682081,0.402523659
0.786127168,0.400630915
0.787572254,0.399369085
0.789017341,0.396845426
0.790462428,0.394952681
0.791907514,0.393059937
0.793352601,0.391167192
0.794797688,0.389905363
0.796242775,0.388643533
0.797687861,0.386750789
0.799132948,0.385488959
0.800578035,0.383596215
0.802023121,0.38170347
0.803468208,0.379810726
0.804913295,0.378548896
0.806358382,0.376025237
0.807803468,0.374132492
0.809248555,0.372870662
0.810693642,0.371608833
0.812138728,0.369716088
0.813583815,0.367823344
0.815028902,0.366561514
0.816473988,0.36466877
0.817919075,0.364037855
0.819364162,0.36214511
0.820809249,0.360883281
0.822254335,0.358359621
0.823699422,0.357097792
0.825144509,0.355205047
0.826589595,0.353943218
0.828034682,0.353312303
0.829479769,0.351419558
0.830924855,0.349526814
0.832369942,0.347634069
0.833815029,0.34637224
0.835260116,0.34511041
0.836705202,0.343217666
0.838150289,0.341324921
0.839595376,0.339432177
0.841040462,0.338801262
0.842485549,0.337539432
0.843930636,0.335646688
0.845375723,0.334384858
0.846820809,0.331861199
0.848265896,0.330599369
0.849710983,0.329337539
0.851156069,0.32807571
0.852601156,0.32681388
0.854046243,0.324290221
0.855491329,0.323659306
0.856936416,0.321135647
0.858381503,0.319242902
0.85982659,0.317350158
0.861271676,0.316088328
0.862716763,0.314195584
0.86416185,0.312933754
0.865606936,0.311041009
0.867052023,0.30977918
0.86849711,0.307886435
0.869942197,0.305993691
0.871387283,0.304100946
0.87283237,0.302208202
0.874277457,0.301577287
0.875722543,0.299684543
0.87716763,0.297791798
0.878612717,0.295899054
0.880057803,0.294006309
0.88150289,0.292113565
0.882947977,0.29022082
0.884393064,0.288328076
0.88583815,0.287066246
0.887283237,0.285804416
0.888728324,0.283911672
0.89017341,0.282018927
0.891618497,0.280126183
0.893063584,0.278233438
0.894508671,0.276340694
0.895953757,0.27444795
0.897398844,0.272555205
0.898843931,0.270662461
0.900289017,0.268769716
0.901734104,0.267507886
0.903179191,0.265615142
0.904624277,0.263722397
0.906069364,0.261829653
0.907514451,0.259936909
0.908959538,0.257413249
0.910404624,0.25615142
0.911849711,0.25488959
0.913294798,0.25362776
0.914739884,0.251735016
0.916184971,0.249211356
0.917630058,0.247318612
0.919075145,0.245425868
0.920520231,0.242902208
0.921965318,0.241009464
0.923410405,0.239116719
0.924855491,0.237223975
0.926300578,0.234700315
0.927745665,0.233438486
0.929190751,0.230914826
0.930635838,0.228391167
0.932080925,0.226498423
0.933526012,0.223974763
0.934971098,0.222082019
0.936416185,0.220189274
0.937861272,0.21829653
0.939306358,0.215772871
0.940751445,0.212618297
0.942196532,0.210725552
0.943641618,0.207570978
0.945086705,0.205678233
0.946531792,0.202523659
0.947976879,0.198107256
0.949421965,0.192429022
0.950867052,0.182334385
0.952312139,0.170347003
0.953757225,0.153312303
0.955202312,0.135646688
0.956647399,0.117350158
0.958092486,0.100315457
0.959537572,0.084542587
0.960982659,0.073817035
0.962427746,0.063722397
0.963872832,0.055520505
0.965317919,0.046687697
0.966763006,0.041009464
0.968208092,0.034700315
0.969653179,0.029652997
0.971098266,0.025867508
0.972543353,0.022082019
0.973988439,0.01955836
0.975433526,0.0170347
0.976878613,0.014511041
0.978323699,0.012618297
0.979768786,0.010725552
0.981213873,0.008832808
0.98265896,0.007570978
0.984104046,0.006309148
0.985549133,0.004416404
0.98699422,0.003785489
0.988439306,0.003785489
0.989884393,0.003154574
0.99132948,0.002523659
0.992774566,0.001892744
0.994219653,0.00126183
0.99566474,0.001892744
0.997109827,0.00126183
0.998554913,0.000630915
1,0
